timestamp,question,title,category,section,type,score,confidence,confidence_label,source,fallback,fallback_message,escalation_ready,reply,error
2026-04-23T19:35:11,opening,Aeon Roadshow Opening List,,Devices,sop,0.5,,,lexical_fallback_best_step,,,False,Please refer to Step 13 for Aeon Roadshow Opening List.,
2026-04-23T19:36:11,opening,Aeon Roadshow Opening List,,Devices,sop,0.5,,,lexical_fallback_best_step,,,False,Please refer to Step 13 for Aeon Roadshow Opening List.,
2026-04-23T19:36:20,aeon,Aeon Roadshow Closing List,,,text,0.5387727618217468,,,pytorch_model_section_choice,,,False,"I found Aeon Roadshow Closing List. Available sections: Stocktake, Settlement, Devices, Chiller, Display Closing.",
2026-04-23T19:36:26,Stocktake,Aeon Roadshow Closing List,,Stocktake,sop,1.0,,,context_section,,,False,Here is the Stocktake section for Aeon Roadshow Closing List.,
2026-04-23T19:42:28,sop,,,,text,0.0,,,low_confidence_or_model_unavailable,,,True,No confident SOP match. Please escalate to team lead.,
2026-04-23T19:44:55,sop,,,,text,0.0,,,low_confidence_or_model_unavailable,,,True,No confident SOP match. Please escalate to team lead.,
2026-04-23T19:45:03,sop,,,,text,0.0,,,low_confidence_or_model_unavailable,,,True,No confident SOP match. Please escalate to team lead.,
2026-04-23T19:45:15,sop,,,,text,0.0,,,low_confidence_or_model_unavailable,,,True,No confident SOP match. Please escalate to team lead.,
2026-04-23T19:47:03,sop,,,,text,0.0,,,low_confidence_or_model_unavailable,,,True,No confident SOP match. Please escalate to team lead.,
2026-04-23T19:47:07,aeon,Aeon Roadshow Closing List,,,text,0.5387727618217468,,,pytorch_model_section_choice,,,False,"I found Aeon Roadshow Closing List. Available sections: Stocktake, Settlement, Devices, Chiller, Display Closing.",
2026-04-23T19:47:15,SOP,Aeon Roadshow Closing List,,,text,1.0,,,context_section_choice,,,False,"I found Aeon Roadshow Closing List. Available sections: Stocktake, Settlement, Devices, Chiller, Display Closing.",
2026-04-23T19:47:33,aeon closing list,Aeon Roadshow Closing List,,,sop,0.9673888683319092,,,pytorch_model_high_best_step,,,False,Please refer to Step 17 for Aeon Roadshow Closing List.,
2026-04-23T19:47:41,all step,Aeon Roadshow Closing List,,,sop,1.0,,,context_full_sop,,,False,Here is the full SOP for Aeon Roadshow Closing List.,
2026-04-23T21:27:56,s,,,,text,0.0,,,low_confidence_or_model_unavailable,,,True,No confident SOP match. Please escalate to team lead.,
2026-04-23T21:27:57,sop,,,,text,0.0,,,low_confidence_or_model_unavailable,,,True,No confident SOP match. Please escalate to team lead.,
2026-04-23T21:28:28,sop,,,,text,0.0,,,low_confidence_or_model_unavailable,,,True,No confident SOP match. Please escalate to team lead.,
2026-04-23T21:28:33,opening,Aeon Roadshow Opening List,,Devices,sop,0.5,,,lexical_fallback_best_step,,,False,Please refer to Step 13 for Aeon Roadshow Opening List.,
2026-04-24T19:40:49,aeon sop,,,,text,0.0,,,low_confidence_or_model_unavailable,,,True,No confident SOP match. Please escalate to team lead.,
2026-04-24T19:40:57,aeon closing,Aeon Roadshow Closing List,,Display Closing,sop,0.8500487804412842,,,pytorch_model_high_best_step,,,False,Please refer to Step 13 for Aeon Roadshow Closing List.,
2026-04-24T19:41:11,aeon closing all list,Aeon Roadshow Closing List,,,sop,0.9672214388847351,,,pytorch_model_high_best_step,,,False,Please refer to Step 17 for Aeon Roadshow Closing List.,
2026-04-24T19:41:15,all step,Aeon Roadshow Closing List,,,sop,1.0,,,context_full_sop,,,False,Here is the full SOP for Aeon Roadshow Closing List.,
2026-04-24T20:24:15,sop,,,,text,0.0,,,low_confidence_or_model_unavailable,,,True,No confident SOP match. Please escalate to team lead.,
2026-04-24T20:24:23,closing list,,,,text,1.0,,,ambiguous_family,,,False,"Which SOP do you need:
- Aeon Roadshow Closing List
- Closing Spring Warehouse
- Ice Bin Daily Closing Checklist
- Kiosk Closing Check List
- Kuching Booth Closing dustbin check list
- Shopify POS app Closing
- Spring Roadshow Closing List
Please choose one.",
2026-04-24T20:24:54,spring closing,,,,text,1.0,,,ambiguous_family,,,False,"Which SOP do you need:
- Aeon Roadshow Closing List
- Closing Spring Warehouse
- Ice Bin Daily Closing Checklist
- Kiosk Closing Check List
- Kuching Booth Closing dustbin check list
- Shopify POS app Closing
- Spring Roadshow Closing List
Please choose one.",
2026-04-24T20:25:55,opening list,,,,text,1.0,,,ambiguous_family,,,False,"Which SOP do you need:
- Aeon Roadshow Opening List
- Backend Opening Checklist
- JHKC Kiosk Opening
- Opening Notes
- Receipt printer preparation for opening
- Shopify POS app Opening
- Spring Roadshow Opening List
Please choose one.",
2026-04-24T20:26:07,shopify pos app opening,Shopify POS app Opening,,,sop,1.0,,,rule_alias_best_step,,,False,Please refer to Step 2 for Shopify POS app Opening.,
2026-04-24T20:26:10,all step,Shopify POS app Opening,,,sop,1.0,,,context_full_sop,,,False,Here is the full SOP for Shopify POS app Opening.,
2026-04-24T20:26:20,Spring Roadshow Opening List,Spring Roadshow Opening List,,Shopify POS,sop,1.0,,,rule_alias_best_step,,,False,Please refer to Step 16 for Spring Roadshow Opening List.,
2026-04-24T20:26:24,all step,Spring Roadshow Opening List,,,sop,1.0,,,context_full_sop,,,False,Here is the full SOP for Spring Roadshow Opening List.,
2026-04-24T20:28:00,babi,Spring Roadshow Opening List,,,text,1.0,,,context_section_choice,,,False,"I found Spring Roadshow Opening List. Available sections:
- Terminal Machine
- Chiller
- Devices
- Shopify POS
- Daily Record Sheet",
2026-04-24T20:28:07,babi,Spring Roadshow Opening List,,,text,1.0,,,context_section_choice,,,False,"I found Spring Roadshow Opening List. Available sections:
- Terminal Machine
- Chiller
- Devices
- Shopify POS
- Daily Record Sheet",
2026-04-24T20:28:15,kontol,Spring Roadshow Opening List,,,text,1.0,,,context_section_choice,,,False,"I found Spring Roadshow Opening List. Available sections:
- Terminal Machine
- Chiller
- Devices
- Shopify POS
- Daily Record Sheet",
2026-04-24T20:28:23,bacot,Spring Roadshow Opening List,,,text,1.0,,,context_section_choice,,,False,"I found Spring Roadshow Opening List. Available sections:
- Terminal Machine
- Chiller
- Devices
- Shopify POS
- Daily Record Sheet",
2026-04-24T20:28:28,next,Spring Roadshow Opening List,,,text,1.0,,,context_section_choice,,,False,"I found Spring Roadshow Opening List. Available sections:
- Terminal Machine
- Chiller
- Devices
- Shopify POS
- Daily Record Sheet",
2026-04-24T20:29:07,Daily Record Sheet,Spring Roadshow Opening List,,Daily Record Sheet,sop,1.0,,,context_section,,,False,Here is the Daily Record Sheet section for Spring Roadshow Opening List.,
2026-04-24T20:29:14,I want all step,Spring Roadshow Opening List,,,sop,1.0,,,context_full_sop,,,False,Here is the full SOP for Spring Roadshow Opening List.,
2026-04-24T20:29:51,Mask and Badge,Mask and Badge,,Reference Image,sop,1.0,,,rule_alias_best_step,,,False,Please refer to Step 2 for Mask and Badge.,
2026-04-24T20:29:56,all step,Mask and Badge,,,sop,1.0,,,context_full_sop,,,False,Here is the full SOP for Mask and Badge.,
2026-04-24T20:31:00,all step,Mask and Badge,,,sop,1.0,,,context_full_sop,,,False,Here is the full SOP for Mask and Badge.,
2026-04-24T20:31:30,Mask and Badge,Mask and Badge,,Reference Image,sop,1.0,,,rule_alias_best_step,,,False,Please refer to Step 2 for Mask and Badge.,
2026-04-25T17:43:51,hi,,,,text,1.0,,,greeting_guidance,,,False,"Hi — I can help with SOP, checklist, promotion, product knowledge, notice, or training questions.

You can ask things like:
- kiosk opening
- roadshow closing
- show all for kiosk opening
- step 2 to step 5
- promotion
- public holiday
- new bee 1st day
- golden passion honey",
2026-04-25T17:44:00,al,,,,text,0.35,,,clarification_round_1,,,False,"I’m not fully sure which topic you want yet.

Please choose one area:
- SOP / checklist
- Promotion
- Product knowledge
- Notice / latest update
- Training / onboarding

Examples:
- kiosk opening
- roadshow closing
- promotion
- public holiday
- new bee 1st day",
2026-04-25T17:44:05,all,,,,text,0.15,,,escalate_after_two_unclear_attempts,,,True,I’m still not fully sure which topic you need. Please escalate this question to team lead.,
