timestamp,question,title,category,section,type,score,confidence,confidence_label,source,fallback,fallback_message,escalation_ready,reply,error
2026-05-12T16:26:43,Testing ai chat retrieve,Testing ai chat retrieve,SOP,,text,1.0,1.0,high,wiki_article_database,False,,False,Testing,
2026-05-12T16:29:54,Alan idiot,Alan idiot,,,multiple_choice,1.0,1.0,high,suggestion_options,False,,False,I found a few possible answers. Please select one:,
2026-05-12T16:30:52,Promotions,Promotions,,,multiple_choice,1.0,1.0,high,suggestion_options,False,,False,I found a few possible answers. Please select one:,
2026-05-12T16:35:30,promotion,promotion,,,multiple_choice,0.85,0.85,medium,suggestion_options,False,,False,I found a few possible answers. Please select one:,
2026-05-12T16:35:44,promotions,promotions,,,multiple_choice,1.0,1.0,high,suggestion_options,False,,False,I found a few possible answers. Please select one:,
2026-05-12T16:36:04,promotions,promotions,,,multiple_choice,1.0,1.0,high,suggestion_options,False,,False,I found a few possible answers. Please select one:,
2026-05-12T16:37:16,Alan idiot,Alan idiot,,,multiple_choice,0.92,0.92,high,suggestion_options,False,,False,I found a few possible answers. Please select one:,
2026-05-12T16:37:57,Alan idiot,Alan idiot,,,multiple_choice,1.0,1.0,high,suggestion_options,False,,False,I found a few possible answers. Please select one:,
2026-05-12T16:38:12,promotion,promotion,,,multiple_choice,0.85,0.85,medium,suggestion_options,False,,False,I found a few possible answers. Please select one:,
2026-05-12T16:39:14,promotions,promotions,,,multiple_choice,1.0,1.0,high,suggestion_options,False,,False,I found a few possible answers. Please select one:,
2026-05-12T16:39:52,kiosk opening,kiosk opening,,,multiple_choice,1.0,1.0,high,suggestion_options,False,,False,I found a few possible answers. Please select one:,
2026-05-12T16:40:48,Opening Notes,Opening Notes,,,multiple_choice,1.0,1.0,high,suggestion_options,False,,False,I found a few possible answers. Please select one:,
2026-05-12T16:41:22,opening notes,opening notes,,,multiple_choice,1.0,1.0,high,suggestion_options,False,,False,I found a few possible answers. Please select one:,
2026-05-12T16:48:16,Closing Spring Warehouse,Closing Spring Warehouse,,,multiple_choice,1.0,1.0,high,suggestion_options,False,,False,I found a few possible answers. Please select one:,
